VaccinationDate,age_group,first_dose,second_dose
2021-01-26,30-39,14160,11206
2021-01-26,60-69,3482,28368
2021-01-26,40-49,19407,18180
2021-01-26,70-79,1936,20395
2021-01-26,90+,236,2237
2021-01-27,60-69,3205,28300
2021-01-27,20-29,14328,10217
2021-01-27,80-89,841,10042
2021-01-27,0-19,15695,2089
2021-01-27,30-39,13623,11114
2021-01-27,50-59,8420,23735
2021-01-27,90+,229,2275
2021-01-27,70-79,1720,19454
2021-01-27,40-49,19630,17490
2021-01-28,20-29,15962,9887
2021-01-28,0-19,13342,2125
2021-01-28,70-79,1502,18135
2021-01-28,50-59,7589,27690
2021-01-28,80-89,664,8927
2021-01-28,30-39,20220,13010
2021-01-28,90+,173,1927
2021-01-28,40-49,16976,20911
2021-01-28,60-69,2978,27684
2021-01-29,0-19,5617,1583
2021-01-29,80-89,255,3156
2021-01-29,50-59,3473,14232
2021-01-29,20-29,5966,4932
2021-01-29,90+,42,625
2021-01-29,60-69,1235,11233
2021-01-29,40-49,8734,14164
2021-01-29,70-79,524,6919
2021-01-29,30-39,10676,7767
2021-01-30,20-29,5144,3120
2021-01-30,0-19,4972,904
2021-01-30,80-89,174,1808
2021-01-30,90+,30,391
2021-01-30,30-39,10582,5798
2021-01-30,40-49,8807,10605
2021-01-30,70-79,453,3809
2021-01-30,50-59,3136,9662
2021-01-30,60-69,990,6565
2021-01-31,0-19,9520,1045
2021-01-31,30-39,21643,7518
2021-01-31,70-79,1550,6958
2021-01-31,80-89,681,3533
2021-01-31,90+,168,741
2021-01-31,40-49,16118,12473
2021-01-31,60-69,2952,10816
2021-01-31,20-29,13319,4346
2021-01-31,50-59,7227,11913
2021-02-01,60-69,3052,5098
2021-02-01,90+,229,378
2021-02-01,80-89,844,1662
2021-02-01,50-59,7581,7752
2021-02-01,20-29,19508,3015
2021-02-01,0-19,10299,579
2021-02-01,70-79,1726,3391
2021-02-01,30-39,24189,5013
2021-02-01,40-49,14845,8321
2021-02-02,20-29,15748,2447
2021-02-02,30-39,19960,3933
2021-02-02,90+,243,292
2021-02-02,70-79,1678,2645
2021-02-02,50-59,6554,8847
2021-02-02,60-69,2888,4603
2021-02-02,40-49,13302,6345
2021-02-02,80-89,892,1397
2021-02-02,0-19,8599,438
2021-02-03,50-59,5763,21540
2021-02-03,30-39,17057,5177
2021-02-03,60-69,2608,6484
2021-02-03,90+,236,308
2021-02-03,40-49,10625,8101
2021-02-03,70-79,1562,3462
2021-02-03,20-29,14696,3918
2021-02-03,80-89,863,1626
2021-02-03,0-19,6663,654
2021-02-04,70-79,1183,2766
2021-02-04,50-59,5252,22721
2021-02-04,60-69,2294,5572
2021-02-04,40-49,10498,10346
2021-02-04,30-39,23200,7359
2021-02-04,90+,141,239
2021-02-04,80-89,641,1276
2021-02-04,20-29,22638,6208
2021-02-04,0-19,6541,1433
2021-02-05,40-49,5208,5514
2021-02-05,50-59,2694,11420
2021-02-05,60-69,1077,2572
2021-02-05,80-89,241,573
2021-02-05,0-19,2745,524
2021-02-05,90+,77,113
2021-02-05,20-29,9914,2542
2021-02-05,30-39,11284,4154
2021-02-05,70-79,537,1245
2021-02-06,0-19,1941,341
2021-02-06,50-59,1626,10041
2021-02-06,40-49,3073,5491
2021-02-06,20-29,6972,1512
2021-02-06,70-79,262,632
2021-02-06,60-69,558,1429
2021-02-06,80-89,139,264
2021-02-06,90+,34,56
2021-02-06,30-39,6929,2374
2021-02-07,20-29,16756,9219
2021-02-07,50-59,4362,23159
2021-02-07,0-19,4634,1827
2021-02-07,30-39,16482,7383
2021-02-07,40-49,7765,18375
2021-02-07,70-79,1121,2448
2021-02-07,60-69,2089,4731
2021-02-07,80-89,562,1177
2021-02-07,90+,167,226
2021-02-08,50-59,4478,16462
2021-02-08,0-19,4299,2584
2021-02-08,80-89,568,923
2021-02-08,20-29,19913,12127
2021-02-08,60-69,2103,4026
2021-02-08,40-49,7825,19960
2021-02-08,70-79,1112,2007
2021-02-08,90+,135,163
2021-02-08,30-39,18047,6950
2021-02-09,0-19,5139,2696
2021-02-09,80-89,628,843
2021-02-09,20-29,22762,12054
2021-02-09,70-79,1244,1938
2021-02-09,90+,205,187
2021-02-09,60-69,2557,3807
2021-02-09,40-49,9093,23256
2021-02-09,30-39,19071,8317
2021-02-09,50-59,5419,14183
2021-02-10,0-19,5393,2340
2021-02-10,90+,153,134
2021-02-10,80-89,571,822
2021-02-10,20-29,24074,10754
2021-02-10,50-59,5744,13132
2021-02-10,30-39,20594,11466
2021-02-10,60-69,2697,3690
2021-02-10,40-49,9817,27790
2021-02-10,70-79,1293,1820
2021-02-11,30-39,23144,13569
2021-02-11,0-19,6386,2269
2021-02-11,20-29,27364,10387
2021-02-11,80-89,635,1003
2021-02-11,90+,136,200
2021-02-11,40-49,11878,26450
2021-02-11,50-59,6821,11645
2021-02-11,70-79,1400,2093
2021-02-11,60-69,3128,3917
2021-02-12,20-29,12966,3842
2021-02-12,90+,61,101
2021-02-12,30-39,11135,7795
2021-02-12,40-49,5887,15124
2021-02-12,70-79,598,937
2021-02-12,80-89,285,473
2021-02-12,0-19,3080,1156
2021-02-12,60-69,1458,2098
2021-02-12,50-59,3467,5883
2021-02-13,80-89,170,278
2021-02-13,90+,26,72
2021-02-13,60-69,1019,1302
2021-02-13,40-49,4287,11650
2021-02-13,70-79,377,619
2021-02-13,30-39,7330,4638
2021-02-13,50-59,2593,5377
2021-02-13,20-29,9115,2366
2021-02-13,0-19,2471,4046
2021-02-14,70-79,1657,2002
2021-02-14,60-69,3532,3667
2021-02-14,30-39,19897,11289
2021-02-14,40-49,11640,21901
2021-02-14,90+,149,214
2021-02-14,80-89,715,952
2021-02-14,20-29,23299,9992
2021-02-14,0-19,6876,9896
2021-02-14,50-59,6964,8959
2021-02-15,90+,207,283
2021-02-15,40-49,12776,20487
2021-02-15,70-79,1748,2117
2021-02-15,50-59,7852,9515
2021-02-15,30-39,21516,12488
2021-02-15,80-89,812,1038
2021-02-15,0-19,7487,12366
2021-02-15,20-29,25070,13177
2021-02-15,60-69,3853,4017
2021-02-16,90+,166,238
