first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-04-19,2020-04-25,65-69,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,65-69,נקבה,1555,<15,0.0
2020-04-19,2020-04-25,70-74,זכר,1366,17.0,<15
2020-04-19,2020-04-25,70-74,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,70-74,נקבה,1471,16.0,<15
2020-04-19,2020-04-25,75-79,זכר,931,<15,<15
2020-04-19,2020-04-25,75-79,נקבה,1227,15.0,<15
2020-04-19,2020-04-25,80+,זכר,2817,25.0,<15
2020-04-19,2020-04-25,80+,לא ידוע,<15,0.0,0.0
2020-04-19,2020-04-25,80+,נקבה,6251,43.0,<15
2020-04-19,2020-04-25,NULL,זכר,1006,<15,0.0
2020-04-19,2020-04-25,NULL,לא ידוע,701,<15,0.0
2020-04-19,2020-04-25,NULL,נקבה,1178,18.0,0.0
2020-04-26,2020-05-02,0-19,זכר,3613,149.0,0.0
2020-04-26,2020-05-02,0-19,לא ידוע,108,<15,0.0
2020-04-26,2020-05-02,0-19,נקבה,2525,123.0,0.0
2020-04-26,2020-05-02,20-24,זכר,2852,66.0,0.0
2020-04-26,2020-05-02,20-24,לא ידוע,<15,<15,0.0
2020-04-26,2020-05-02,20-24,נקבה,2076,41.0,0.0
2020-04-26,2020-05-02,25-29,זכר,2107,40.0,0.0
2020-04-26,2020-05-02,25-29,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,25-29,נקבה,2192,33.0,0.0
2020-04-26,2020-05-02,30-34,זכר,2072,26.0,0.0
2020-04-26,2020-05-02,30-34,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,30-34,נקבה,2136,25.0,0.0
2020-04-26,2020-05-02,35-39,זכר,1828,15.0,0.0
2020-04-26,2020-05-02,35-39,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,35-39,נקבה,1901,21.0,0.0
2020-04-26,2020-05-02,40-44,זכר,1733,<15,0.0
2020-04-26,2020-05-02,40-44,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,40-44,נקבה,1761,18.0,0.0
2020-04-26,2020-05-02,45-49,זכר,1621,16.0,0.0
2020-04-26,2020-05-02,45-49,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,45-49,נקבה,1839,18.0,0.0
2020-04-26,2020-05-02,50-54,זכר,1537,<15,0.0
2020-04-26,2020-05-02,50-54,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,50-54,נקבה,1740,15.0,0.0
2020-04-26,2020-05-02,55-59,זכר,1329,<15,0.0
2020-04-26,2020-05-02,55-59,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,55-59,נקבה,1609,18.0,0.0
2020-04-26,2020-05-02,60-64,זכר,1246,16.0,<15
2020-04-26,2020-05-02,60-64,נקבה,1546,<15,<15
2020-04-26,2020-05-02,65-69,זכר,1153,<15,<15
2020-04-26,2020-05-02,65-69,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,65-69,נקבה,1263,<15,<15
2020-04-26,2020-05-02,70-74,זכר,1047,<15,<15
2020-04-26,2020-05-02,70-74,לא ידוע,<15,<15,0.0
2020-04-26,2020-05-02,70-74,נקבה,1082,<15,<15
2020-04-26,2020-05-02,75-79,זכר,726,<15,<15
2020-04-26,2020-05-02,75-79,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,75-79,נקבה,841,<15,0.0
2020-04-26,2020-05-02,80+,זכר,2093,<15,15.0
2020-04-26,2020-05-02,80+,לא ידוע,<15,0.0,0.0
2020-04-26,2020-05-02,80+,נקבה,4504,17.0,<15
2020-04-26,2020-05-02,NULL,זכר,908,20.0,0.0
2020-04-26,2020-05-02,NULL,לא ידוע,725,<15,0.0
2020-04-26,2020-05-02,NULL,נקבה,917,<15,0.0
2020-05-03,2020-05-09,0-19,זכר,2544,50.0,0.0
2020-05-03,2020-05-09,0-19,לא ידוע,24,0.0,0.0
2020-05-03,2020-05-09,0-19,נקבה,2037,38.0,0.0
2020-05-03,2020-05-09,20-24,זכר,1768,23.0,0.0
2020-05-03,2020-05-09,20-24,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,20-24,נקבה,1740,21.0,0.0
2020-05-03,2020-05-09,25-29,זכר,1808,<15,0.0
2020-05-03,2020-05-09,25-29,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,25-29,נקבה,2094,<15,0.0
2020-05-03,2020-05-09,30-34,זכר,1818,<15,0.0
2020-05-03,2020-05-09,30-34,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,30-34,נקבה,2131,<15,0.0
2020-05-03,2020-05-09,35-39,זכר,1776,<15,0.0
2020-05-03,2020-05-09,35-39,נקבה,1960,<15,0.0
2020-05-03,2020-05-09,40-44,זכר,1704,<15,<15
2020-05-03,2020-05-09,40-44,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,40-44,נקבה,2408,<15,0.0
2020-05-03,2020-05-09,45-49,זכר,1618,<15,0.0
2020-05-03,2020-05-09,45-49,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,45-49,נקבה,1901,<15,0.0
2020-05-03,2020-05-09,50-54,זכר,1380,<15,0.0
2020-05-03,2020-05-09,50-54,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,50-54,נקבה,1714,<15,0.0
2020-05-03,2020-05-09,55-59,זכר,1070,<15,0.0
2020-05-03,2020-05-09,55-59,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,55-59,נקבה,1507,<15,0.0
2020-05-03,2020-05-09,60-64,זכר,1055,<15,<15
2020-05-03,2020-05-09,60-64,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,60-64,נקבה,1468,<15,0.0
2020-05-03,2020-05-09,65-69,זכר,1031,<15,<15
2020-05-03,2020-05-09,65-69,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,65-69,נקבה,1125,<15,0.0
2020-05-03,2020-05-09,70-74,זכר,970,<15,<15
2020-05-03,2020-05-09,70-74,נקבה,1058,<15,0.0
2020-05-03,2020-05-09,75-79,זכר,719,<15,<15
2020-05-03,2020-05-09,75-79,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,75-79,נקבה,900,<15,<15
2020-05-03,2020-05-09,80+,זכר,2331,<15,<15
2020-05-03,2020-05-09,80+,לא ידוע,<15,0.0,0.0
2020-05-03,2020-05-09,80+,נקבה,5004,<15,<15
2020-05-03,2020-05-09,NULL,זכר,732,<15,0.0
2020-05-03,2020-05-09,NULL,לא ידוע,201,0.0,0.0
2020-05-03,2020-05-09,NULL,נקבה,876,<15,0.0
2020-05-10,2020-05-16,0-19,זכר,1980,21.0,0.0
2020-05-10,2020-05-16,0-19,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,0-19,נקבה,1600,22.0,0.0
2020-05-10,2020-05-16,20-24,זכר,1267,<15,0.0
2020-05-10,2020-05-16,20-24,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,20-24,נקבה,1322,<15,0.0
2020-05-10,2020-05-16,25-29,זכר,1181,<15,0.0
2020-05-10,2020-05-16,25-29,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,25-29,נקבה,1580,<15,0.0
2020-05-10,2020-05-16,30-34,זכר,1246,<15,0.0
2020-05-10,2020-05-16,30-34,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,30-34,נקבה,1637,<15,0.0
2020-05-10,2020-05-16,35-39,זכר,1190,<15,0.0
2020-05-10,2020-05-16,35-39,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,35-39,נקבה,1678,<15,0.0
2020-05-10,2020-05-16,40-44,זכר,1178,<15,0.0
2020-05-10,2020-05-16,40-44,לא ידוע,15,0.0,0.0
2020-05-10,2020-05-16,40-44,נקבה,1858,<15,0.0
2020-05-10,2020-05-16,45-49,זכר,1069,<15,<15
2020-05-10,2020-05-16,45-49,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,45-49,נקבה,1449,<15,0.0
2020-05-10,2020-05-16,50-54,זכר,888,<15,0.0
2020-05-10,2020-05-16,50-54,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,50-54,נקבה,1289,<15,<15
2020-05-10,2020-05-16,55-59,זכר,751,<15,<15
2020-05-10,2020-05-16,55-59,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,55-59,נקבה,1107,<15,0.0
2020-05-10,2020-05-16,60-64,זכר,772,<15,<15
2020-05-10,2020-05-16,60-64,נקבה,1118,<15,0.0
2020-05-10,2020-05-16,65-69,זכר,863,<15,0.0
2020-05-10,2020-05-16,65-69,נקבה,1065,<15,0.0
2020-05-10,2020-05-16,70-74,זכר,893,<15,<15
2020-05-10,2020-05-16,70-74,לא ידוע,<15,0.0,0.0
2020-05-10,2020-05-16,70-74,נקבה,1110,<15,0.0
2020-05-10,2020-05-16,75-79,זכר,650,<15,<15
2020-05-10,2020-05-16,75-79,נקבה,824,<15,<15
2020-05-10,2020-05-16,80+,זכר,2097,<15,<15
2020-05-10,2020-05-16,80+,נקבה,4826,<15,<15
2020-05-10,2020-05-16,NULL,זכר,559,<15,0.0
2020-05-10,2020-05-16,NULL,לא ידוע,156,0.0,0.0
2020-05-10,2020-05-16,NULL,נקבה,604,<15,0.0
2020-05-17,2020-05-23,0-19,זכר,2187,<15,0.0
2020-05-17,2020-05-23,0-19,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,0-19,נקבה,1714,24.0,0.0
2020-05-17,2020-05-23,20-24,זכר,996,<15,0.0
2020-05-17,2020-05-23,20-24,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,20-24,נקבה,1145,<15,0.0
2020-05-17,2020-05-23,25-29,זכר,1076,<15,0.0
2020-05-17,2020-05-23,25-29,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,25-29,נקבה,1519,<15,0.0
2020-05-17,2020-05-23,30-34,זכר,1158,<15,<15
2020-05-17,2020-05-23,30-34,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,30-34,נקבה,1644,<15,0.0
2020-05-17,2020-05-23,35-39,זכר,1189,<15,0.0
2020-05-17,2020-05-23,35-39,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,35-39,נקבה,1611,<15,0.0
2020-05-17,2020-05-23,40-44,זכר,982,<15,0.0
2020-05-17,2020-05-23,40-44,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,40-44,נקבה,1493,<15,0.0
2020-05-17,2020-05-23,45-49,זכר,841,<15,0.0
2020-05-17,2020-05-23,45-49,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,45-49,נקבה,1077,<15,0.0
2020-05-17,2020-05-23,50-54,זכר,703,<15,0.0
2020-05-17,2020-05-23,50-54,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,50-54,נקבה,960,<15,0.0
2020-05-17,2020-05-23,55-59,זכר,692,<15,0.0
2020-05-17,2020-05-23,55-59,לא ידוע,<15,0.0,0.0
2020-05-17,2020-05-23,55-59,נקבה,980,<15,0.0
2020-05-17,2020-05-23,60-64,זכר,598,<15,0.0
2020-05-17,2020-05-23,60-64,נקבה,917,<15,0.0
